ID,original_date,modis_date
11744_ID,2005-12-02,
00641_ID,2005-04-20,2005-04-22 00:00:00.000000256
00642_ID,2005-04-27,2005-05-04 00:00:00.000000000
00645_ID,2005-06-01,2004-09-24 00:00:00.000000128
00650_ID,2005-05-30,2005-06-13 00:00:00.000000000
00653_ID,2005-05-09,2006-05-18 00:00:00.000000000
00654_ID,2005-06-01,
00659_ID,2005-04-11,2005-04-18 00:00:00.000000000
00662_ID,2005-05-10,2005-11-19 00:00:00.000000000
01099_ID,2005-12-19,2005-12-25 00:00:00.000000000
01111_ID,2005-11-28,2005-11-21 00:00:00.000000000
11096_ID,2005-04-21,2005-04-22 00:00:00.000000000
11097_ID,2005-04-21,
11098_ID,2005-04-06,
11099_ID,2005-04-20,2005-04-22 00:00:00.000000000
11102_ID,2005-04-06,
11107_ID,2005-04-21,2005-04-18 00:00:00.000000000
11108_ID,2005-04-06,
11109_ID,2005-04-06,2004-12-09 00:00:00.000000000
11110_ID,2005-04-06,2004-12-06 00:00:00.000000000
11112_ID,2005-04-12,
11113_ID,2005-04-15,2005-04-20 00:00:00.000000000
11114_ID,2005-04-06,2004-10-25 23:59:59.999999744
11120_ID,2005-04-06,2004-12-06 00:00:00.000000000
11122_ID,2005-04-20,
11123_ID,2005-04-20,
11124_ID,2005-04-20,
11125_ID,2005-04-20,
11126_ID,2005-04-20,
11127_ID,2005-04-20,
11128_ID,2005-04-20,
11130_ID,2005-05-28,
11170_ID,2005-04-20,2005-04-20 00:00:00.000000000
11183_ID,2005-04-20,
11729_ID,2005-12-21,
11730_ID,2005-11-25,
11731_ID,2005-12-18,2006-11-22 00:00:00.000000000
11732_ID,2005-11-24,
11735_ID,2005-11-19,2005-04-19 19:58:50.243100288
11736_ID,2005-11-16,2005-11-18 00:00:00.000000000
11739_ID,2005-10-17,
11741_ID,2005-11-17,
11742_ID,2005-12-02,
11749_ID,2005-11-15,
11751_ID,2005-11-24,2005-11-21 00:00:00.000000000
11752_ID,2005-12-02,2005-11-21 00:00:00.000000000
11754_ID,2005-12-18,2005-12-25 00:00:00.000000000
11755_ID,2005-11-24,2005-12-21 00:00:00.000000000
11756_ID,2005-11-24,2005-11-21 00:00:00.000000000
